"X","Notes","ICD.Chapter","ICD.Chapter.Code","State","State.Code","Year","Year.Code","Deaths","Population","Crude.Rate"
1,"","Certain infectious and parasitic diseases","A00-B99","Alabama",1,1999,1999,1092,4430141,24.6
2,"","Certain infectious and parasitic diseases","A00-B99","Alabama",1,2000,2000,1188,4447100,26.7
3,"","Certain infectious and parasitic diseases","A00-B99","Alabama",1,2001,2001,1211,4467634,27.1
4,"","Certain infectious and parasitic diseases","A00-B99","Alabama",1,2002,2002,1215,4480089,27.1
5,"","Certain infectious and parasitic diseases","A00-B99","Alabama",1,2003,2003,1350,4503491,30
6,"","Certain infectious and parasitic diseases","A00-B99","Alabama",1,2004,2004,1251,4530729,27.6
7,"","Certain infectious and parasitic diseases","A00-B99","Alabama",1,2005,2005,1303,4569805,28.5
8,"","Certain infectious and parasitic diseases","A00-B99","Alabama",1,2006,2006,1312,4628981,28.3
9,"","Certain infectious and parasitic diseases","A00-B99","Alabama",1,2007,2007,1241,4672840,26.6
10,"","Certain infectious and parasitic diseases","A00-B99","Alabama",1,2008,2008,1385,4718206,29.4
11,"","Certain infectious and parasitic diseases","A00-B99","Alabama",1,2009,2009,1381,4757938,29
12,"","Certain infectious and parasitic diseases","A00-B99","Alabama",1,2010,2010,1358,4779736,28.4
13,"","Certain infectious and parasitic diseases","A00-B99","Alaska",2,1999,1999,61,624779,9.8
14,"","Certain infectious and parasitic diseases","A00-B99","Alaska",2,2000,2000,51,626932,8.1
15,"","Certain infectious and parasitic diseases","A00-B99","Alaska",2,2001,2001,58,633714,9.2
16,"","Certain infectious and parasitic diseases","A00-B99","Alaska",2,2002,2002,67,642337,10.4
17,"","Certain infectious and parasitic diseases","A00-B99","Alaska",2,2003,2003,61,648414,9.4
18,"","Certain infectious and parasitic diseases","A00-B99","Alaska",2,2004,2004,53,659286,8
19,"","Certain infectious and parasitic diseases","A00-B99","Alaska",2,2005,2005,68,666946,10.2
20,"","Certain infectious and parasitic diseases","A00-B99","Alaska",2,2006,2006,65,675302,9.6
21,"","Certain infectious and parasitic diseases","A00-B99","Alaska",2,2007,2007,78,680300,11.5
22,"","Certain infectious and parasitic diseases","A00-B99","Alaska",2,2008,2008,70,687455,10.2
23,"","Certain infectious and parasitic diseases","A00-B99","Alaska",2,2009,2009,73,698895,10.4
24,"","Certain infectious and parasitic diseases","A00-B99","Alaska",2,2010,2010,88,710231,12.4
25,"","Certain infectious and parasitic diseases","A00-B99","Arizona",4,1999,1999,789,5023823,15.7
26,"","Certain infectious and parasitic diseases","A00-B99","Arizona",4,2000,2000,779,5130632,15.2
27,"","Certain infectious and parasitic diseases","A00-B99","Arizona",4,2001,2001,843,5273477,16
28,"","Certain infectious and parasitic diseases","A00-B99","Arizona",4,2002,2002,967,5396255,17.9
29,"","Certain infectious and parasitic diseases","A00-B99","Arizona",4,2003,2003,1097,5510364,19.9
30,"","Certain infectious and parasitic diseases","A00-B99","Arizona",4,2004,2004,1056,5652404,18.7
31,"","Certain infectious and parasitic diseases","A00-B99","Arizona",4,2005,2005,1097,5839077,18.8
32,"","Certain infectious and parasitic diseases","A00-B99","Arizona",4,2006,2006,1281,6029141,21.2
