,Site,Date,EnteroCount,FourDayRainTotal,SampleCount,swim,date_lag
5,Hudson above Mohawk River,2013-06-04,238,1.2,35,unacceptable,47 days 00:00:00.000000000
6,Hudson above Mohawk River,2012-10-15,23,1.4,35,unacceptable,232 days 00:00:00.000000000
7,Hudson above Mohawk River,2012-09-15,11,0.1,35,unacceptable,30 days 00:00:00.000000000
8,Hudson above Mohawk River,2012-08-18,15,0.3,35,unacceptable,28 days 00:00:00.000000000
9,Hudson above Mohawk River,2012-07-21,6,0.2,35,unacceptable,28 days 00:00:00.000000000
10,Hudson above Mohawk River,2012-06-16,10,0.2,35,unacceptable,35 days 00:00:00.000000000
11,Hudson above Mohawk River,2012-05-20,11,0.0,35,unacceptable,27 days 00:00:00.000000000
12,Hudson above Mohawk River,2013-06-24,30,1.4,35,unacceptable,400 days 00:00:00.000000000
13,Hudson above Mohawk River,2011-09-19,11,0.1,35,unacceptable,644 days 00:00:00.000000000
14,Hudson above Mohawk River,2011-08-21,231,0.4,35,unacceptable,29 days 00:00:00.000000000
15,Hudson above Mohawk River,2011-07-14,11,0.3,35,unacceptable,38 days 00:00:00.000000000
16,Hudson above Mohawk River,2011-07-02,11,2.1,35,unacceptable,12 days 00:00:00.000000000
17,Hudson above Mohawk River,2011-05-19,91,1.6,35,unacceptable,44 days 00:00:00.000000000
18,Hudson above Mohawk River,2010-10-16,2420,1.3,35,unacceptable,215 days 00:00:00.000000000
19,Hudson above Mohawk River,2010-09-14,15,0.0,35,unacceptable,32 days 00:00:00.000000000
20,Hudson above Mohawk River,2010-08-21,25,0.2,35,unacceptable,24 days 00:00:00.000000000
21,Hudson above Mohawk River,2010-07-19,31,0.7,35,unacceptable,33 days 00:00:00.000000000
22,Hudson above Mohawk River,2008-05-22,12,0.2,35,unacceptable,788 days 00:00:00.000000000
23,Hudson above Mohawk River,2010-05-25,1,0.0,35,unacceptable,733 days 00:00:00.000000000
24,Hudson above Mohawk River,2009-10-23,4,0.0,35,unacceptable,214 days 00:00:00.000000000
25,Hudson above Mohawk River,2009-09-17,28,0.0,35,unacceptable,36 days 00:00:00.000000000
26,Hudson above Mohawk River,2009-08-24,276,2.8,35,unacceptable,24 days 00:00:00.000000000
27,Hudson above Mohawk River,2009-07-31,2420,1.9,35,unacceptable,24 days 00:00:00.000000000
28,Hudson above Mohawk River,2009-05-15,6,0.5,35,unacceptable,77 days 00:00:00.000000000
29,Hudson above Mohawk River,2008-10-23,1,0.3,35,unacceptable,204 days 00:00:00.000000000
30,Hudson above Mohawk River,2008-09-18,6,0.0,35,unacceptable,35 days 00:00:00.000000000
31,Hudson above Mohawk River,2008-08-09,41,1.5,35,unacceptable,40 days 00:00:00.000000000
32,Hudson above Mohawk River,2008-07-17,15,0.1,35,unacceptable,23 days 00:00:00.000000000
33,Hudson above Mohawk River,2008-06-19,12,1.4,35,unacceptable,28 days 00:00:00.000000000
34,Hudson above Mohawk River,2010-06-18,23,0.2,35,unacceptable,729 days 00:00:00.000000000
40,Mohawk River at Waterford,2013-09-21,830,0.0,35,unacceptable,30 days 00:00:00.000000000
41,Mohawk River at Waterford,2013-08-19,1733,0.0,35,unacceptable,33 days 00:00:00.000000000
42,Mohawk River at Waterford,2013-07-21,64,0.0,35,unacceptable,29 days 00:00:00.000000000
43,Mohawk River at Waterford,2013-06-24,1300,1.4,35,unacceptable,27 days 00:00:00.000000000
44,Mohawk River at Waterford,2013-06-04,461,1.2,35,unacceptable,20 days 00:00:00.000000000
45,Mohawk River at Waterford,2012-10-15,770,1.4,35,unacceptable,232 days 00:00:00.000000000
46,Mohawk River at Waterford,2012-09-15,1300,0.1,35,unacceptable,30 days 00:00:00.000000000
47,Mohawk River at Waterford,2012-08-18,461,0.3,35,unacceptable,28 days 00:00:00.000000000
48,Mohawk River at Waterford,2008-07-17,21,0.1,35,unacceptable,1493 days 00:00:00.000000000
49,Mohawk River at Waterford,2012-06-16,1023,0.2,35,unacceptable,1430 days 00:00:00.000000000
50,Mohawk River at Waterford,2012-05-20,238,0.0,35,unacceptable,27 days 00:00:00.000000000
51,Mohawk River at Waterford,2011-10-16,2420,1.5,35,unacceptable,217 days 00:00:00.000000000
52,Mohawk River at Waterford,2011-09-19,68,0.1,35,unacceptable,27 days 00:00:00.000000000
53,Mohawk River at Waterford,2011-08-21,142,0.4,35,unacceptable,29 days 00:00:00.000000000
54,Mohawk River at Waterford,2011-07-14,33,0.3,35,unacceptable,38 days 00:00:00.000000000
55,Mohawk River at Waterford,2011-07-02,4,2.1,35,unacceptable,12 days 00:00:00.000000000
56,Mohawk River at Waterford,2011-05-19,96,1.6,35,unacceptable,44 days 00:00:00.000000000
57,Mohawk River at Waterford,2010-10-16,128,1.3,35,unacceptable,215 days 00:00:00.000000000
58,Mohawk River at Waterford,2008-08-09,12,1.5,35,unacceptable,798 days 00:00:00.000000000
59,Mohawk River at Waterford,2010-08-21,26,0.2,35,unacceptable,742 days 00:00:00.000000000
60,Mohawk River at Waterford,2010-05-25,117,0.0,35,unacceptable,88 days 00:00:00.000000000
61,Mohawk River at Waterford,2010-07-19,42,0.7,35,unacceptable,55 days 00:00:00.000000000
62,Mohawk River at Waterford,2009-10-23,32,0.0,35,unacceptable,269 days 00:00:00.000000000
63,Mohawk River at Waterford,2009-09-17,416,0.0,35,unacceptable,36 days 00:00:00.000000000
64,Mohawk River at Waterford,2009-08-24,1986,2.8,35,unacceptable,24 days 00:00:00.000000000
65,Mohawk River at Waterford,2009-07-31,2420,1.9,35,unacceptable,24 days 00:00:00.000000000
66,Mohawk River at Waterford,2009-05-15,48,0.5,35,unacceptable,77 days 00:00:00.000000000
67,Mohawk River at Waterford,2008-10-23,12,0.3,35,unacceptable,204 days 00:00:00.000000000
68,Mohawk River at Waterford,2008-09-18,8,0.0,35,unacceptable,35 days 00:00:00.000000000
69,Mohawk River at Waterford,2010-09-14,2420,0.0,35,unacceptable,726 days 00:00:00.000000000
75,Hudson River above Troy Lock,2008-09-18,11,0.0,37,unacceptable,40 days 00:00:00.000000000
76,Hudson River above Troy Lock,2008-10-23,4,0.3,37,unacceptable,35 days 00:00:00.000000000
77,Hudson River above Troy Lock,2009-05-15,54,0.5,37,unacceptable,204 days 00:00:00.000000000
78,Hudson River above Troy Lock,2009-06-13,272,0.6,37,unacceptable,29 days 00:00:00.000000000
79,Hudson River above Troy Lock,2009-07-31,2420,1.9,37,unacceptable,48 days 00:00:00.000000000
80,Hudson River above Troy Lock,2009-08-24,260,2.8,37,unacceptable,24 days 00:00:00.000000000
81,Hudson River above Troy Lock,2009-09-17,99,0.0,37,unacceptable,24 days 00:00:00.000000000
82,Hudson River above Troy Lock,2013-08-19,41,0.0,37,unacceptable,1432 days 00:00:00.000000000
83,Hudson River above Troy Lock,2010-05-25,30,0.0,37,unacceptable,1182 days 00:00:00.000000000
84,Hudson River above Troy Lock,2013-10-21,117,0.2,37,unacceptable,1245 days 00:00:00.000000000
85,Hudson River above Troy Lock,2013-09-21,199,0.0,37,unacceptable,30 days 00:00:00.000000000
86,Hudson River above Troy Lock,2010-06-18,387,0.2,37,unacceptable,1191 days 00:00:00.000000000
87,Hudson River above Troy Lock,2010-07-19,579,0.7,37,unacceptable,31 days 00:00:00.000000000
88,Hudson River above Troy Lock,2010-08-21,67,0.2,37,unacceptable,33 days 00:00:00.000000000
89,Hudson River above Troy Lock,2010-08-23,345,0.6,37,unacceptable,2 days 00:00:00.000000000
90,Hudson River above Troy Lock,2010-09-14,32,0.0,37,unacceptable,22 days 00:00:00.000000000
91,Hudson River above Troy Lock,2010-10-16,1986,1.3,37,unacceptable,32 days 00:00:00.000000000
92,Hudson River above Troy Lock,2011-05-19,96,1.6,37,unacceptable,215 days 00:00:00.000000000
93,Hudson River above Troy Lock,2011-07-02,63,2.1,37,unacceptable,44 days 00:00:00.000000000
94,Hudson River above Troy Lock,2011-07-14,108,0.3,37,unacceptable,12 days 00:00:00.000000000
