Poughkeepsie Drinking Water Intake,8.34210526316
Croton Point Beach,15.4583333333
Stony Point mid-channel,17.3409090909
Little Stony Point,17.5263157895
Poughkeepsie Launch Ramp,17.6756756757
Haverstraw Bay mid-channel,18.7083333333
TZ Bridge mid-channel,21.4385964912
Cold Spring Harbor,22.5428571429
Yonkers mid-channel,25.0192307692
Irvington Beach,28.8055555556
Wappingers Creek,30.0571428571
The Battery mid-channel,30.1632653061
Dyckman Street Beach,30.2368421053
Kingston Point Beach,30.5581395349
"Castle Point, NJ",37.0769230769
Pier 96 Kayak Launch,40.2051282051
Norrie Point mid-channel,43.7777777778
East River mid-channel at 23rd St.,45.34
79th St. mid-channel,47.2040816327
East River mid-channel at Roosevelt Is.,48.25
Beacon Harbor,52.6578947368
GW Bridge mid-channel,58.1836734694
Port Ewen Drinking Water Intake,62.1351351351
Yonkers STP Outfall,66.9607843137
Annesville Creek,83.4210526316
Marlboro Landing,85.1428571429
Fort Montgomery,88.1388888889
West Point STP Outfall,91.1944444444
Tivoli Landing,92.7027027027
Ulster Landing Beach,94.6944444444
Nyack Launch Ramp,105.032786885
Malden Launch Ramp,107.555555556
Inbocht Bay,127.694444444
Harlem River- Washington Bridge,127.893617021
Norrie Point Yacht Basin,128.805555556
Catskill Launch Ramp,132.378378378
Coxsackie Waterfront Park,170.457142857
Furnace Brook,172.520833333
Hudson Landing Ramp,174.783783784
125th St. Pier,179.696969697
Castleton,186.0
Coeymans Landing,186.555555556
Peekskill Riverfront Green Park,187.285714286
Gay's Point mid-channel,193.888888889
Cedar Pond Brook,199.70212766
North River STP at 145th,200.106382979
Athens,201.314285714
Ossining Beach,206.957446809
Harlem River- Willis Ave. Bridge,211.638297872
Hudson above Mohawk River,223.685714286
Esopus Creek West,224.571428571
Bethlehem Launch Ramp,231.694444444
Congress St. Bridge- Troy,247.315789474
Catskill Creek- East End,261.238095238
Esopus Creek Entrance,263.558139535
Rondout- Eddyville Anchorage,265.2
Albany Rowing Dock,280.944444444
Emeline Beach- Haverstraw,298.078947368
Catskill Creek- First Bridge,305.947368421
Rondout- Kingston Public Dock,313.564102564
Hudson River above Troy Lock,331.540540541
Newburgh Launch Ramp,351.052631579
Dunn Memorial Bridge- Albany,357.973684211
Island Creek/Normans Kill,431.828571429
Kingston STP Outfall,481.125
Piermont Pier,482.165775401
Mohawk River at Waterford,621.057142857
Orangetown STP Outfall,854.192982456
Kingsland Pt. Park- Pocantico River,907.857142857
Newtown Creek- Dutch Kills,1205.0877193
Upper Sparkill Creek,1296.07272727
Saw Mill River,1455.76
Tarrytown Marina,2205.66666667
Newtown Creek- Metropolitan Ave. Bridge,2953.68421053
Gowanus Canal,4206.83783784
