"","Year","Country","Region","Count"
"1",1998,"Germany","Europe",2
"2",2000,"Sweden","Europe",1
"3",2000,"US","North America",9
"4",2002,"US","North America",2
"5",2003,"Brazil","South America",1
"6",2003,"Canada","North America",1
"7",2003,"Denmark","Europe",2
"8",2003,"Japan","Asia",2
"9",2003,"US","North America",1
"10",2005,"Germany","Europe",1
"11",2005,"Japan","Asia",1
"12",2005,"Norway","Europe",1
"13",2005,"Russia","Asia",1
"14",2006,"Italy","Europe",1
"15",2006,"Japan","Asia",3
"16",2006,"Norway","Europe",1
"17",2006,"South Korea","Asia",1
"18",2006,"US","North America",16
"19",2007,"Argentina","South America",1
"20",2007,"China","Asia",1
"21",2007,"Colombia","South America",1
"22",2007,"US","North America",6
"23",2008,"Canada","North America",2
"24",2008,"Denmark","Europe",1
"25",2008,"Germany","Europe",1
"26",2008,"Japan","Asia",2
"27",2008,"Netherlands","Europe",1
"28",2008,"US","North America",3
"29",2009,"Germany","Europe",2
"30",2009,"Japan","Asia",4
"31",2009,"Switzerland","Europe",1
"32",2009,"Turkey","Asia",1
"33",2009,"US","North America",6
"34",2010,"China","Asia",2
"35",2010,"India","Asia",1
"36",2010,"Japan","Asia",3
"37",2010,"Norway","Europe",1
"38",2010,"Switzerland","Europe",1
"39",2010,"US","North America",11
"40",2011,"India","Asia",2
"41",2011,"US","North America",10
"42",2012,"China","Asia",1
"43",2012,"France","Europe",1
"44",2012,"Hungary","Europe",1
"45",2012,"Italy","Europe",2
"46",2012,"Japan","Asia",4
"47",2012,"Poland","Europe",1
"48",2012,"Romania","Europe",1
"49",2012,"Spain","Europe",1
"50",2012,"US","North America",12
"51",2012,"Vietnam","Asia",1
"52",2013,"Argentina","South America",2
"53",2013,"Austria","Europe",2
"54",2013,"Denmark","Europe",2
"55",2013,"Ecuador","South America",2
"56",2013,"Estonia","Europe",1
"57",2013,"Germany","Europe",6
"58",2013,"Japan","Asia",1
"59",2013,"Netherlands","Europe",2
"60",2013,"Norway","Europe",1
"61",2013,"Pakistan","Asia",1
"62",2013,"Peru","South America",2
"63",2013,"Poland","Europe",1
"64",2013,"Singapore","Asia",1
"65",2013,"South Africa","Africa",1
"66",2013,"South Korea","Asia",3
"67",2013,"Spain","Europe",2
"68",2013,"Turkey","Asia",1
"69",2013,"UK","Europe",2
"70",2013,"US","North America",53
