,Mission_Name,Organization,Organization_Type,Nation,Sat_Type,Launch_Year,Rocket,Orbit,Mission_Type,region,Year
1,TUBSAT-N,Technische Universität Berlin,University,Germany,8.5 kg,07-07-98,Shtil,"770 x 404 km, 78.9 degree inclination",Space Technology,Europe,1998
2,TUBSAT-N,Technische Universität Berlin,University,Germany,3 kg,07-08-98,Shtil,"770 x 404 km, 78.9 degree inclination",Space Technology,Europe,1998
3,Artemis JAK (MASat ),Santa Clara University,University,US,0.2 kg,01-27-00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Technology,North America,2000
4,Artemis Louise (Lightning),Santa Clara University,University,US,0.89 kg,01-27-00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Technology,North America,2000
5,Artemis Thelma (Thunder),Santa Clara University,University,US,0.6 kg,01-27-00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Technology,North America,2000
6,ASUSat 1 (Arizona State University Satellite),Arizona State University,University,US,6 kg,01-27-00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Technology,North America,2000
7,"MEMS 1A (Pico 21, PICOSAT-1)",DARPA,Military,US,0.275 kg,01-27-00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Technology,North America,2000
8,"MEMS 1B (Pico 23, PICOSAT-1)",DARPA,Military,US,0.275 kg,01-27-00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Technology,North America,2000
9,StenSat,"Stensat Group, LLC",Company,US,0.2 kg,01-27-00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Activity,North America,2000
10,"MEMS 2A (Pico 20, PICOSAT-1)",DARPA,Military,US,0.275 kg,07-19-00,Minotaur I,750 x 800 km 100.22 degree inclination,Space Technology,North America,2000
11,"MEMS 2B (Pico 22, PICOSAT-1)",DARPA,Military,US,0.275 kg,07-19-00,Minotaur I,750 x 800 km 100.22 degree inclination,Space Technology,North America,2000
12,Munin,Swedish Institute of Space Physics,Agency,Sweden,6 kg,11-21-00,Delta II,"700 x 1850 km, 96.5 degree inclination, elliptical polar orbit",Space Science,Europe,2000
13,MEPSI 1A (MEMS-based PicoSat Inspector),DARPA,Military,US,1U,11-23-02,Shuttle,"379 x 397 km, 51.6 degrees inclination",Space Technology,North America,2002
14,MEPSI 1B (MEMS-based PicoSat Inspector),DARPA,Military,US,1U,11-23-02,Shuttle,"379 x 397 km, 51.6 degrees inclination",Space Technology,North America,2002
15,AAUSAT,Aalborg University,University,Denmark,1U,03-30-03,Rokot-KM,"820 km, 98.73 degree inclination",Space Technology,Europe,2003
16,CanX-1,University of Toronto Institute for Aerospace Studies,University,Canada,1U,03-30-03,Rokot-KM,"820 km, 98.73 degree inclination",Space Technology,North America,2003
17,CUTE-I (Cubical Tokyo Tech Engineering Satellite-I),Tokyo Institute of Technology,University,Japan,1U,03-30-03,Rokot-KM,"820 km, 98.73 degree inclination",Space Technology,Asia,2003
18,DTUSat-1,Technical University of Denmark,University,Denmark,1U,03-30-03,Rokot-KM,"820 km, 98.73 degree inclination",Space Technology,Europe,2003
19,QuakeSat,Stanford University,University,US,3U,03-30-03,Rokot-KM,"820 km, 98.73 degree inclination",Space Technology,North America,2003
20,XI-IV,University of Tokyo,University,Japan,1U,03-30-03,Rokot-KM,"820 km, 98.73 degree inclination",Space Technology,Asia,2003
21,UNOSAT 1 (Undergraduate Orbital Student Satellite),Universidade Norte do Paraná,University,Brazil,8.83 kg,08-22-03,VLS-1,Launch failure,Space Technology,South America,2003
