OPTOS (Optical Nanosatellite),National Institute of Aerospace Technology,Agency,Spain,3U,11/21/13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology
PUCP-Pocket,Pontifical Catholic University of Peru,University,Peru,0.127 kg,11/21/13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology
PUCPSat-1,Pontifical Catholic University of Peru,University,Peru,1U,11/21/13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology
QubeScout 1,Maryland State University,University,US,PocketQube 2.5p,11/21/13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology
ZACUBE-1 (TshepisoSat),Cape Peninsula University of Technology,University,South Africa,1U,11/21/13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology
"T-LogoQube (BeakerSat 1, MagPocketQube, Eagle-1)",Sonoma State University,University,US,PocketQube 2.5p,11/21/13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology
Triton-1,ISIS,Company,Netherlands,3U,11/21/13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology
UWE-3,University of Würzburg,University,Germany,1U,11/21/13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology
VELOX-P2,Nanyang Technological University,University,Singapore,1U,11/21/13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology
WNISAT 1 (Weather News Inc. Satellite 1),Weather News Inc.,Company,Japan,10 kg,11/21/13,Dnepr,"670 km, 97.79 degree inclination.",Space Activity
Wren,STADOKO UG,Company,Germany,PocketQube 1p,11/21/13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology
AeroCube-5A,The Aerospace Corporation,Non-profit,US,1.5U,12/06/13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology
AeroCube-5B,The Aerospace Corporation,Non-profit,US,1.5U,12/06/13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology
ALICE (AFIT LEO iMESA CNT Experiment),Air Force Institute of Technology,University,US,3U,12/06/13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology
CUNYSAT 1,City University of New York (CUNY),University,US,1U,12/06/13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology
"FIREBIRD A (FU1, Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",Montana State University/ University of New Hampshire,University,US,1.5U,12/06/13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Science
"FIREBIRD B (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",Montana State University/ University of New Hampshire,University,US,1.5U,12/06/13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Science
"IPEX (CP8, Intelligent Payload Experiment)",California Polytechnic State University,University,US,1U,12/06/13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology
