"Ex-Alta 1 (AlbertaSat-1, Experimental Albertan #1)",University of Alberta,University,Canada,3U,07/31/16,TBD,ISS,Space Science
GamaSat,University of Porto,University,Portugal,3U,07/31/16,TBD,ISS,Space Science
HavelSat,Istanbul Technical University,University,Turkey,2U,07/31/16,TBD,ISS,Space Science
Hoopoe (Duchifat),Herzliya Science Centre,School,Israel,2U,07/31/16,TBD,ISS,Space Science
i-INSPIRE II (Inspire 2),University of Sydney,University,Australia,2U,07/31/16,TBD,ISS,Space Science
CzechTechSat,Czech Technical University of Prague,University,Czech,1U,07/31/16,-,not launched,Space Technology
InflateSail,University of Surrey,University,UK,3U,07/31/16,TBD,ISS,Space Science
LilacSat-1,Harbin Institute of Technology,University,China,2U,07/31/16,TBD,ISS,Space Science
Link,Korea Advanced Institute of Science and Technology,Institute,South Korea,2U,07/31/16,TBD,ISS,Space Science
LituanicaSAT-2,Innovative Engineering Projects,Company,Lithuania,3U,07/31/16,TBD,ISS,Space Science
NJUST-1,Nanjing University of Science and Technology,University,China,2U,07/31/16,TBD,ISS,Space Science
NUDTSat,National University of Defense Technology,University,China,2U,07/31/16,TBD,ISS,Space Science
OGMS-SA (OutGassing Material Study by Spectroscopy Analysis),Paris-Est Créteil Val-de-Marne University,University,France,3U,07/31/16,TBD,ISS,Space Science
Pegasus,University of Applied Sciences Wiener Neustadt,University,Austria,2U,07/31/16,TBD,ISS,Space Science
PHOENIX,National Cheng Kung University,University,Taiwan,2U,07/31/16,TBD,ISS,Space Science
AISat Nano (AISat-1N),UK Space Agency,Agency,UK,3U,08/31/16,-,not launched,Space Activity
MinXSS-2 (Miniature X-ray Solar Spectrometer CubeSat),University of Colorado at Boulder,University,US,3U,2016-09-31,Minotaur-C,not launched,Space Science
"CPOD A (Cubesat Proximity Operations Demonstration, PONSFD-A, Proximity Operations Nano-Satellite Flight Demonstration)",Tyvak Nano-Satellite Systems,Company,US,3U,2016-09-31,Minotaur-C,not launched,Space Technology
"CPOD B (Cubesat Proximity Operations Demonstration, PONSFD-B, Proximity Operations Nano-Satellite Flight Demonstration)",Tyvak Nano-Satellite Systems,Company,US,3U,2016-09-31,Minotaur-C,not launched,Space Technology
Dellingr,NASA Goddard Space Flight Center,Agency,US,6U,2016-09-31,-,ISS,Space Technology
EagleSat,"Embry-Riddle Aeronautical University, Prescott AZ",University,US,1U,11/15/16,Delta II,not launched,Space Technology
RadFxSat (Fox-1B),Vanderbilt University and The Radio Amateur Satellite Corporation.,University,US,1U,11/15/16,Delta II,not launched,Space Technology
MiRaTA (Microwave Radiometer Technology Acceleration),Massachusetts Institute Of Technology,University,US,3U,11/15/16,Delta II,not launched,Space Technology
GE1: Golden Eagle 1 (GoldenEagle-1),Marquette University,University,US,1U,11/15/16,Delta II,not launched,Space Technology
Hera-9,Hera Systems,Company,US,12U,12/31/16,not launched,not launched,Space Activity
Prometheus Block 2 - 4,Los Alamos National Laboratory,Military,US,1.5U,12/31/16,Falcon Heavy,not launched,Space Technology
Outernet Demo 1,Outernet,Company,US,1U,12/31/16,-,-,Space Activity
STF-1 (Simulation To Flight 1),West Virginia University,University,US,3U,12/31/16,-,not launched,Space Technology
MicroMAS-2 B,Massachusetts Institute of Technology,University,US,3U,12/31/16,not launched,not launched,Space Technology
MarCO 2 (Mars Cube One),NASA,Agency,US,6U,12/31/16,Atlas V,"Mars, deep space",Space Technology
Prometheus Block 2 - 5,Los Alamos National Laboratory,Military,US,1.5U,12/31/16,Falcon Heavy,not launched,Space Technology
Hera-8,Hera Systems,Company,US,12U,12/31/16,not launched,not launched,Space Activity
Prometheus Block 2 - 6,Los Alamos National Laboratory,Military,US,1.5U,12/31/16,Falcon Heavy,not launched,Space Technology
Hera-7,Hera Systems,Company,US,12U,12/31/16,not launched,not launched,Space Activity
Prometheus Block 2 - 7,Los Alamos National Laboratory,Military,US,1.5U,12/31/16,Falcon Heavy,not launched,Space Technology
Outernet Demo 2,Outernet,Company,US,1U,12/31/16,-,-,Space Activity
Prometheus Block 2 - 8,Los Alamos National Laboratory,Military,US,1.5U,12/31/16,Falcon Heavy,not launched,Space Technology
Hera-6,Hera Systems,Company,US,12U,12/31/16,not launched,not launched,Space Activity
Outernet Demo 3,Outernet,Company,US,1U,12/31/16,-,-,Space Activity
"UoS3 (Project BLAST, University of Southampton Small Satellite)",University of Southampton,University,UK,1U,12/31/16,not launched,ISS,Space Technology
Reaktor Hello World,Reaktor Space Lab,Company,Finland,2U,12/31/16,not launched,not launched,Space Activity
TechEdSat-5,NASA Ames Research Center,Agency,US,3U,12/31/16,TBD,ISS,Space Technology
SHARC,Air Force Research Laboratory,Military,US,5U,12/31/16,TBD,ISS,Space Technology
UWE-4,University of Würzburg,University,Germany,1U,12/31/16,TBD,not launched,Space Technology
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Weebill,KoncarX,Company,US,1U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
VPM (Very low frequency Particle Mapper),Air Force Research Laboratory (AFRL),Military,US,6U,12/31/16,not launched,-,Space Technology
Prometheus Block 2 - 9,Los Alamos National Laboratory,Military,US,1.5U,12/31/16,Falcon Heavy,not launched,Space Technology
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Lemur-2,Spire,Company,US,3U,12/31/16,TBD,not launched,Space Activity
PISat (PESIT Imaging Satellite),PES Institute of Technology,University,India,5.3 kg,12/31/16,PSLV,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Prometheus Block 2 - 10,Los Alamos National Laboratory,Military,US,1.5U,12/31/16,Falcon Heavy,not launched,Space Technology
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Lemur-2,Spire,Company,US,3U,12/31/16,TBD,not launched,Space Activity
Pratham,Indian Institute of Technology Bombay,University,India,10 kg,12/31/16,PSLV,not launched,Space Technology
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Lemur-2,Spire,Company,US,3U,12/31/16,TBD,not launched,Space Activity
Rascal A,Saint Louis University,University,US,3U,12/31/16,-,not launched,Space Technology
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Lemur-2,Spire,Company,US,3U,12/31/16,TBD,not launched,Space Activity
Rascal B,Saint Louis University,University,US,3U,12/31/16,-,not launched,Space Technology
AISSat-3,University of Toronto,University,Norway,7 kg,12/31/16,Sojuz-2 1b,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Lemur-2,Spire,Company,US,3U,12/31/16,TBD,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Lemur-2,Spire,Company,US,3U,12/31/16,TBD,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Landmapper-BC 1 (previously Perseus-O),Aquila Space (previously Canopus?),Company,US,6U,12/31/16,Sojuz,not launched,Space Activity
CEPHEUS,Test in Space / Solar MEMS,Company,Spain,3U,12/31/16,-,"600 km, SSO",Space Technology
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
