10 of 13 SLS 6U Interplanetary or Lunar CubeSats,-,-,US,6U,12/31/18,SLS (Space Launch System),Lunar or Interplanetary,-
11 of 13 SLS 6U Interplanetary or Lunar CubeSats,-,-,US,6U,12/31/18,SLS (Space Launch System),Lunar or Interplanetary,-
Lunar IceCube,Morehead State University,University,US,6U,12/31/18,SLS (Space Launch System),Lunar,Space Science
SkyFire,Lockheed Martin,Company,US,6U,12/31/18,SLS (Space Launch System),Lunar fly-by,Space Technology
LunaH-Map,-,-,US,6U,12/31/18,SLS (Space Launch System),Lunar,-
CuSP,-,-,US,6U,12/31/18,SLS (Space Launch System),Lunar or Interplanetary,-
ArgoMoon,Argotec,Company,Italy,6U,12/31/18,SLS (Space Launch System),Lunar or Interplanetary,-
9 of 13 SLS 6U Interplanetary or Lunar CubeSats,-,-,US,6U,12/31/18,SLS (Space Launch System),Interplanetary,-
EON-MW,Massachusetts Institute of Technology,University,US,12U,12/31/18,not launched,not launched,Space Technology
BioSentinel,NASA Ames Research Center,Agency,US,6U,12/31/18,SLS (Space Launch System),"Heliocentric orbit, Lunary Fly-by",Space Activity
ALCEK,BOREAS Space (Bulgarian Orbital REsearch and Satellites),Company,Bulgaria,6U,12/31/19,-,Moon,Space Technology
RVSAT-1,R V College of Engineering,University,India,2U,12/31/19,PSLV,not launched,Space Technology
CleanSpace One,Swiss Space Center,University,Switzerland,TBD,12/31/20,SOAR,not launched,Space Technology
"SERB, SUMO (X-CubeSat 2, Solar Ultraviolet Monitor and Ozone Nanosatellite)","LATMOS (Laboratoire Atmosphères, Milieux, Observations Spatiales)",Institute,France,3U,12/31/20,-,"600 km, 98 degree inclination",Space Activity
GRE-1,Université Joseph Fourier de Grenoble,University,France,2U,12/31/20,-,not launched,Space Technology
Buccaneer Flight 4 A,University of New South Wales at the Australian Defence Force Academy (UNSW Canberra),Military,Australia,3U,12/31/20,-,-,Space Technology
Buccaneer Flight 4 B,University of New South Wales at the Australian Defence Force Academy (UNSW Canberra),Military,Australia,3U,12/31/20,-,-,Space Technology
Buccaneer Flight 4 C,University of New South Wales at the Australian Defence Force Academy (UNSW Canberra),Military,Australia,3U,12/31/20,-,-,Space Technology
Buccaneer Flight 4 D,University of New South Wales at the Australian Defence Force Academy (UNSW Canberra),Military,Australia,3U,12/31/20,-,-,Space Technology
NIMPHSAT,Institut Supérieur de l'Aéronautique et de l'Espace,University,France,3U,12/31/21,-,not launched,Space Technology
OEDIPE,École Elisa,University,France,3U,12/31/21,-,not launched,Space Technology
METEOR,Université Pierre et Marie Curie,University,France,3U,12/31/21,-,not launched,Space Technology
CIRCUS,Université Pierre et Marie Curie,University,France,2U,12/31/21,-,not launched,Space Technology
Jumpsat,Institut Supérieur de l'Aéronautique et de l'Espace,University,France,3U,12/31/21,-,not launched,Space Technology
MaSat-2,Budapest University of Technology and Economics,University,Hungary,TBD,TBD,-,not launched,Space Technology
UAPSAT-2,Alas Peruanas University,University,Peru,6U,TBD,-,-,Space Technology
Libertad-2,Sergio Arboleda University,University,Colombia,3U,TBD,TBD,not launched,Space Technology
UCISat 1,"University of California, Irvine",University,US,1U,TBD,-,not launched,Space Technology
MisST (Microsatellite in-situ Space Technologies),NASA Ames Research Center,Agency,US,3U,TBD,-,not launched,Space Activity
UCISat 2,"University of California, Irvine",University,US,3U,TBD,-,not launched,Space Technology
AOSAT (Asteroid Origins Satellite),Arizona State University,University,US,3U,TBD,TBD,TBD,Space Science
Ulises 2,National Autonomous University of Mexico,University,Mexico,TubeSat,TBD,TuPOD,not launched,Space Activity
NEUDOSE,McMaster University,University,US,3U,TBD,TBD,TBD,Space Technology
JAISAT-1,RAIST (Radio Amateur Society of Thailand),Non-profit,Thailand,1U,TBD,TBD,not launched,Space Technology
UND-Sat,University of North Dakota,University,US,1U,TBD,-,not launched,-
UNSA-SAT1,National University of St Agustin of Arequipa,University,Peru,2U,TBD,-,-,-
RyeF3Ex-1 (Ryerson Femtosatellite Formation Flying Experiment),Ryerson University,University,Canada,PocketQube,TBD,-,-,Space Activity
NANOSATC-BR2,National Institute for Space Research,Institute,Brazil,2U,TBD,-,not launched,Space Technology
SASSat,Singapore American School,School,Singapore,PocketQube 1p,TBD,TBD,TBD,Space Activity
RyeF3Ex-2 (Ryerson Femtosatellite Formation Flying Experiment),Ryerson University,University,Canada,PocketQube,TBD,-,-,Space Activity
Narkissos-1,Spacebooth,Company,Belgium,TubeSat,TBD,-,not launched,Space Activity
CACTUS-1 (Coordinated Applied Capitol Technology University Satellite),Capitol Technology University,University,US,3U,TBD,TBD,TBD,Space Technology
3CAT1,"Polytechnic University of Catalonia (UPC, BarcelonaTECH)",University,Spain,1U,TBD,-,not launched,Space Technology
NEUTRON 1 (Low Earth Orbit Neutron Flux Detection and Cosmos Mission Operations Technology Demo),University of Hawaii at Manoa,University,US,3U,TBD,-,not launched,Space Technology
PICS (Passive Inspection CubeSat),Brigham Young University,University,US,3U,TBD,not launched,not launched,Space Technology
3CAT2,Universitat Politècnica de Catalunya – Barcelona TECH,University,Spain,6U,TBD,-,not launched,Space Activity
NEXUS (Next Education X (cross) Unique Satellite),Nihon University,University,Japan,1U,TBD,-,not launched,Space Technology
WISCER (Wideband Ionospheric Sounder Cubesat Experiment),University of Birmingham,University,UK,3U,TBD,-,not launched,Space Science
"Q-PACE (Cu-PACE, CubeSat Particle Aggregation and Collision Experiment)",University of Central Florida,University,US,2U,TBD,TBD,TBD,Space Science
ArduOrbiter-1,Amateur group,Independent,UK,PocketQube 1p,TBD,TBD,TBD,Space Activity
3-STAR,Polytechnic University of Turin,University,Italy,3U,TBD,-,not launched,Space Technology
NIRA (Nanosatellite for Intelligent Radio frequency Analysis),Mälardalen University,University,Sweden,1U,TBD,-,-,Space Technology
YUsend-1,York University,University,Canada,1U,TBD,-,not launched,-
"Alpha (ɑ, CubeMessenger)",BOREAS Space (Bulgarian Orbital REsearch and Satellites),Company,Bulgaria,1U,TBD,-,not launched,Space Technology
NMTSat (New Mexico Tech Nanosatellite),New Mexico Institute of Mining and Technology,University,US,3U,TBD,-,not launched,Space Technology
YUsend-2,York University,University,Canada,1U,TBD,-,not launched,Space Activity
Discovery 1a,Photos to Space,Company,US,PocketQube 1p,TBD,TBD,TBD,Space Activity
ORS Squared,University of New Mexico,University,US,6U,TBD,TBD,not launched,Space Technology
AeroCube-9 (LMPC CubeSat),The Aerospace Corporation,Non-profit,US,3U,TBD,-,not launched,Space Technology
OPAL (Optical Profiling of the Atmospheric Limb),Utah State University,University,US,3U,TBD,-,not launched,Space Technology
SurfSat,University of Central Florida,University,US,3U,TBD,TBD,TBD,Space Science
EARS-PocketQube,University of Surrey Electronics & Amateur Radio Society,University,UK,PocketQube 1p,TBD,TBD,TBD,Space Activity
"OPEN (OpenOrbiter, OPEN: Open Prototype for Educational NanoSats)",Univeristy of North Dakota,University,US,1U,TBD,-,not launched,Space Technology
OzQube-1,-,Individual,Australia,PocketQube 1p,TBD,-,not launched,Space Technology
MemSat,Rowan University,University,US,3U,TBD,not launched,not launched,Space Technology
Aleksandr (Consat-2),Concordia University,University,Canada,3U,TBD,-,not launched,Space Activity
PATRIOT (A Cubesat NEO Assessment Precursor Mission),University of Michigan,University,US,3U,TBD,-,not launched,Space Technology
RadFXSat-2,Vanderbilt University,University,US,3U,TBD,not launched,not launched,Space Technology
ANDESITE (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),Boston University,University,US,3U,TBD,-,not launched,Space Technology
PEARL,Utah State University,Military,US,3U,TBD,-,not launched,Space Technology
CAPE-3,University of Louisiana at Lafayette,University,US,3U,TBD,not launched,not launched,Space Activity
Antarctic Broadband Nanosatellite Demonstration Mission,Australian Space Research Program,Agency,Australia,6.82 kg,TBD,-,not launched,Space Technology
PilsenCUBE,University of West Bohemia,University,Czech,1U,TBD,-,not launched,Space Technology
AquilaSat,Special Concepts,Company,Bulgaria,3U,TBD,-,not launched,Space Technology
Pipit,ATSB (Astronautic Technology (M) Sdn. Bhd),Institute,Malaysia,PocketQube,TBD,-,not launched,-
DneprCubeSat,Youth Aerospace Education National Center,Agency,Ukraine,2U,TBD,TBD,TBD,Space Science
Lokahi,University of Hawaii,University,US,PocketQube 1p,TBD,TBD,TBD,Space Activity
"CP11 (ISX, Ionospheric Scintillation eXplorer)",California Polytechnic State University,University,US,2U,TBD,not launched,not launched,Space Technology
Aramis-C1,Polytechnical University of Torino,University,Italy,1U,TBD,-,not launched,Space Technology
PISAT,ITE Space (Interactive Technical Enterprises Space),Company,UK,PocketQube 1p,TBD,-,not launched,Space Technology
INCA (Ionospheric Neutron Content Analyzer),New Mexico State University,University,US,3U,TBD,not launched,not launched,Space Technology
Morgana (Meteoroid On-orbit Research in Geopsace for Advancing Near-earth Awareness),Stanford University,University,US,3U,TBD,-,not launched,Space Technology
ARAPAIMA (Application for RSO Autonomous Proximity Analysis and Imaging),Embry-Riddle Aeronautical University,University,US,6U,TBD,-,not launched,Space Technology
Politech.1,Polytechnic University of Valencia,University,Spain,3U,TBD,-,not launched,Space Technology
F-2,FPT University,University,Vietnam,2U,TBD,TBD,TBD,Space Science
PQ SAT (TRSI),STADOKO UG,Company,Germany,PocketQube 1p,TBD,-,not launched,-
CaNOP (Canopy Near-IR Observing Project),Carthage College,University,US,3U,TBD,not launched,not launched,Space Technology
PR CubeSat,University of Puerto Rico,University,US,1U,TBD,-,not launched,Space Technology
Status,Michigan Technological University,University,US,3U,TBD,not launched,not launched,Space Technology
AubieSat-2 A,Aubum University,University,US,3U,TBD,-,not launched,Space Science
PropSat (ALL-STAR Propulsion Module Satellite),University of Colorado at Boulder,University,US,3U,TBD,-,not launched,Space Technology
AubieSat-2 B,Aubum University,University,US,3U,TBD,-,not launched,Space Science
"PTLS (Persistent Telemetry Monitoring, Tracking & Control Using Low Earth Orbit Satcom)",United States Air Force,Military,US,3U,TBD,-,not launched,Space Technology
CubeSat-UD,District University of Bogotá,University,Colombia,1U,TBD,not launched,not launched,Space Technology
Flock-2d 1,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
Beckman CubeSat,Arnold O. Beckman High School ,School,US,TBD,TBD,-,not launched,Space Technology
Flock-2d 2,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
BIRDY,National Cheng Kung University,University,Taiwan,3U,TBD,-,Mars free-return,Space Technology
RBLE (Radiation Belt Loss Experiment),NASA Goddard Space Flight Center,Agency,US,6U,TBD,-,not launched,Space Technology
SINOD-D 2,SRI International,Company,US,2U,TBD,not launched,not launched,Space Technology
BUAA-Picosat,Beihang University,University,China,2U,TBD,-,not launched,-
ROBUSTA-2,University of Montpellier II,University,France,1U,TBD,-,not launched,Space Technology
CeREs (Compact Radiation Belt Explorer),NASA Goddard Space Flight Center,Agency,US,3U,TBD,-,not launched,Space Science
SMDC-ONE 2.5,United States Army Space and Missile Defense Command,Military,US,3U,TBD,-,not launched,Space Technology
TRISAT,University of Maribor,University,Slovenia,3U,TBD,TBD,TBD,Space Technology
PTecSat,University of Southern California,University,US,3U,TBD,not launched,not launched,Space Technology
ChargerSat-2,University of Alabama in Huntsville,University,US,2U,TBD,-,not launched,Space Technology
SMDC-ONE 2.6,United States Army Space and Missile Defense Command,Military,US,3U,TBD,-,not launched,Space Technology
CHiRP,NASA Jet Propulsion Laboratory,University,US,6U,TBD,-,not launched,Space Science
Flock-2d 3,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
SMDC-ONE 2.7,United States Army Space and Missile Defense Command,Military,US,3U,TBD,-,not launched,Space Technology
MDOT,Stanford University,University,US,6U,TBD,not launched,HEO/GEO,Space Science
Flock-2d 4,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
"PropCube 2 (Fauna, Propagation CubeSat)",Naval Postgraduate School (NPS),University,US,1U,TBD,not launched,not launched,Space Science
TRISAT 2,University of Maribor,University,Slovenia,6U,TBD,TBD,TBD,Space Technology
-,Al-Farabi Kazak National University,University,Kazakhstan,2U,TBD,-,-,Space Technology
CINEMA 4,University of California,University,US,3U,TBD,-,not launched,Space Science
Flock-2d 5,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
NetSat-1,University of Würzburg,University,Germany,1U,TBD,-,not launched,Space Technology
Flock-2d 6,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
RSat-D (Repair CubeSat Demonstrator),United States Naval Academy,University,US,3U,TBD,not launched,not launched,Space Activity
RavenSat,Northwest Indian College,University,US,1U,TBD,TBD,-,Space Technology
CONASAT A,National Institute for Space Research,Institute,Brazil,8U,TBD,-,-,Space Activity
Flock-2d 7,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
CONASAT B,National Institute for Space Research,Institute,Brazil,8U,TBD,-,-,Space Activity
Consat-1,Concordia University,University,Canada,3U,TBD,-,not launched,Space Technology
Fox-1E,The Radio Amateur Satellite Corporation (AMSAT),Company,US,1U,TBD,-,not launched,Space Technology
SNAPS (Stanford Nano Picture Satellite),Stanford University,University,US,0.25U,TBD,-,not launched,Space Technology
"CP7 (DAVE, Damping and Vibrations Experiment)",California Polytechnic University,University,US,1U,TBD,-,not launched,Space Technology
GASPACS (Get Away Special Passive Attitude Control Satellite),Utah State University,University,US,1U,TBD,-,not launched,Space Technology
SpaceBuoy,Montana State University,University,US,3U,TBD,-,not launched,Space Science
NetSat-2,University of Würzburg,University,Germany,1U,TBD,-,not launched,Space Technology
GTOSat,NASA Goddard Space Flight Center,Agency,US,6U,TBD,not launched,Geosynchronous Transfer Orbit (GTO),Space Technology
GLADOS (Glint Analyzing Data Observation Satellite),University at Buffalo (UB),University,US,6U,TBD,-,not launched,Space Technology
NetSat-3,University of Würzburg,University,Germany,1U,TBD,-,not launched,Space Technology
CRaBSS (Characterizing Radiation Belt Sources and Sinks),NASA Goddard Space Flight Center,University,US,6U,TBD,-,not launched,Space Technology
GOSTE 1,University of Hawaii at Manoa,University,US,3U,TBD,-,not launched,Space Activity
Star of Aoxiang,Northwestern Polytechnical University,University,China,100 g,TBD,-,not launched,Space Technology
ECOSat-II (ECOSAT-1 was just concept?),University of Victoria,University,Canada,3U,TBD,-,not launched,Space Technology
Aoxiang-Sat,Northwestern Polytechnical University,University,China,12U,TBD,-,not launched,Space Technology
Delta-Dsat,Cranfield University,University,UK,2U,TBD,TBD,TBD,Space Science
CryoCube 2,NASA Kennedy Space Center,Agency,US,3U,TBD,-,not launched,Space Technology
GranaSat,University of Granada,University,Spain,2U,TBD,-,-,-
STARE C,Naval Postgraduate School,University,US,3U,TBD,-,not launched,Space Technology
QB50,University of Bologna,University,Italy,-,TBD,TBD,TBD,-
NetSat-4,University of Würzburg,University,Germany,1U,TBD,-,not launched,Space Technology
Mursat-1,mur.at,Non-profit,Austria,TubeSat,TBD,Neptune (Interorbital Systems),not launched,Space Activity
Azad-1,Maulana Azad National Institute of Technology,University,India,1U,TBD,PSLV,not launched,Space Technology
CSIP,Air Force Research Laboratory,Military,US,3U,TBD,-,not launched,Space Technology
GROUP-C (GPS Radio Occultation and Ultraviolet Photometer on a Cubesat),Naval Research Lab,Military,US,3U,TBD,-,not launched,Space Technology
STRaND-2A,Surrey Satellite Technology,Company,UK,3U,TBD,-,not launched,Space Technology
GOMX-4A,GomSpace ApS,Company,Denmark,6U,TBD,TBD,TBD,Space Activity
Cuballute,Bundeswehr University Munich,University,Germany,3U,TBD,-,Mars,Space Activity
STRaND-2B,Surrey Satellite Technology,Company,UK,3U,TBD,-,not launched,Space Technology
RESat,VKI (von karman Institute),Institute,Belgium,2U,TBD,TBD,TBD,-
MPSAT-2,Test in Space / Solar MEMS,Company,Spain,3U,TBD,not launched,not launched,Space Activity
ET-SAT,Addis Ababa Institute of Technology (AAiT),University,Ethiopia,2U,TBD,TBD,TBD,Space Science
CubeSail-A,University of Illinois,University,US,1.5U,TBD,-,not launched,Space Technology
GTCube,University of the Valley of Guatemala,University,Guatemala,1U,TBD,-,-,Space Technology
STUDSAT-2A,Nitte Meenakshi Institute of Technology,University,India,10 kg,TBD,PSLV,not launched,Space Technology
CubeSail-B,University of Illinois,University,US,1.5U,TBD,-,not launched,Space Technology
HeDI (Helium Doppler Imager),NASA Goddard Space Flight Center,Agency,US,3U,TBD,-,not launched,Space Science
STUDSAT-2B,Nitte Meenakshi Institute of Technology,University,India,10 kg,TBD,PSLV,not launched,Space Technology
CubeSTAR,University of Oslo,University,Norway,2U,TBD,-,not launched,Space Technology
Hermes 2,University of Colorado in Boulder,University,US,1U,TBD, ,not launched,Space Technology
SUChAI,University of Chile,University,Chile,1U,TBD,-,not launched,Space Technology
CXBN 2 (The Cosmic X-Ray Background NanoSat-2),Morehead State University,University,US,2U,TBD,-,not launched,Space Science
HiLITE (High Latitude Ionospheric Thermospheric Experiment),University of Colorado,University,US,3U,TBD,-,not launched,Space Technology
SunewnewSat,Yamouk University,University,Jordan,PocketQube 1p,TBD,-,not launched,Space Technology
ALBus (Advanced Electrical Bus),NASA Glenn Research Center, ,US,3U,TBD, , ,Space Technology
DIME (Double-probe Instrumentation for Measuring Electric-fields),ASTRA (Atmospheric & Space Technology Research Associates),Company,US,1.5U,TBD,-,-,Space Technology
HORYU-3,Kyushu Institute of Technology,University,Japan,3U,TBD,H-2B,not launched,Space Technology
Drag-free CubeSat,Standford University NASA Ames,University,US,3U,TBD,-,not launched,Space Technology
ZACUBE-2,Cape Peninsula University of Technology,University,South Africa,3U,TBD,-,not launched,Space Technology
"i-INSPIRE (Inspire2, Integrated Spectrograph Imaging and Radiation Explorer)",University of Sydney,University,Australia,2U,TBD,-,"380 km, 98 degree inclination",-
TARO,National Cheng Kung University,University,Taiwan,2U,TBD,-,not launched,Space Technology
LightSail-C (LightSail-3),The Planetary Society,Non-profit,US,3U,TBD,not launched,"Deep space, Sun-Earth Libration Point, L1",Space Technology
KPI-SAU-1,"National Technical University of Ukraine, Kiev Polytechnic Institute",University,Ukraine,2U,TBD,TBD,TBD,Space Science
DUSTIE (DUst Sounder and Temperature Imager Experiment),Virginia Tech,University,US,3U,TBD,-,not launched,Space Science
InKlajn-1,Israel Institute Of Technology,University,Israel,3U,TBD,-,not launched,Space Technology
CAPE (CubeSat Atmospheric Probe for Education),University of Stuttgart,University,Germany,3U,TBD,-,not launched,Space Technology
Dynacube,Denel Dynamics,Company,South Africa,1U,TBD,-,not launched,Space Technology
InnoSAT,Astronautic Technology (M) Sdn. Bhd.,Company,Malaysia,3U,TBD,-,not launched,Space Technology
TechCube 1,NASA Goddard Space Flight Center,Agency,US,3U,TBD,-,not launched,Space Technology
